snapshot_month,reference,family,msrp_usd,avg_median_price_usd,avg_listing_count,avg_markup_pct,ad_count_us,ad_count_mom_change,avg_price_mom_change_pct
2022-03-01,126610LV,Submariner Date,10800,28198.25,181.5,166.02,318,-1,0.67
2022-03-01,126710BLNR,GMT-Master II,10900,28516.62,302.25,165.27,318,-1,1.79
2022-03-01,126710BLRO,GMT-Master II,10900,34493.25,230.0,220.87,318,-1,0.71
2022-03-01,226570,Explorer II,9650,16176.75,109.5,70.28,318,-1,1.5
2022-04-01,116500LN,Daytona,14800,53539.0,312.0,267.97,318,0,-2.26
2022-04-01,124060,Submariner,9100,17797.0,159.6,98.85,318,0,-0.78
2022-04-01,124270,Explorer,7250,11126.8,114.2,54.54,318,0,-0.75
2022-04-01,124300,Oyster Perpetual,6400,19511.5,429.6,217.26,318,0,-8.62
2022-04-01,126610LN,Submariner Date,10250,19810.1,266.0,96.14,318,0,-1.27
2022-04-01,126610LV,Submariner Date,10800,27637.9,232.8,160.73,318,0,-1.99
2022-04-01,126710BLNR,GMT-Master II,10900,27849.8,367.2,159.07,318,0,-2.34
2022-04-01,126710BLRO,GMT-Master II,10900,33343.4,310.2,210.17,318,0,-3.33
2022-04-01,226570,Explorer II,9650,15972.6,122.8,68.13,318,0,-1.26
2022-05-01,116500LN,Daytona,14800,49635.12,405.0,241.13,317,-1,-7.29
2022-05-01,124060,Submariner,9100,16863.62,203.25,88.42,317,-1,-5.24
2022-05-01,124270,Explorer,7250,10837.5,113.5,50.52,317,-1,-2.6
2022-05-01,124300,Oyster Perpetual,6400,19086.75,547.25,210.35,317,-1,-2.18
2022-05-01,126610LN,Submariner Date,10250,18883.38,321.5,86.96,317,-1,-4.68
2022-05-01,126610LV,Submariner Date,10800,26204.5,290.75,147.21,317,-1,-5.19
2022-05-01,126710BLNR,GMT-Master II,10900,26333.75,412.25,144.97,317,-1,-5.44
2022-05-01,126710BLRO,GMT-Master II,10900,31121.5,376.75,189.5,317,-1,-6.66
2022-05-01,226570,Explorer II,9650,15438.0,153.0,62.51,317,-1,-3.35
2022-06-01,116500LN,Daytona,14800,46526.88,422.5,219.77,316,-1,-6.26
2022-06-01,124060,Submariner,9100,16325.88,222.0,82.41,316,-1,-3.19
2022-06-01,124270,Explorer,7250,10700.0,121.0,48.61,316,-1,-1.27
2022-06-01,124300,Oyster Perpetual,6400,18080.38,566.75,193.99,316,-1,-5.27
2022-06-01,126610LN,Submariner Date,10250,18321.0,345.0,81.4,316,-1,-2.98
2022-06-01,126610LV,Submariner Date,10800,24915.0,329.5,135.05,316,-1,-4.92
2022-06-01,126710BLNR,GMT-Master II,10900,25312.25,421.5,135.46,316,-1,-3.88
2022-06-01,126710BLRO,GMT-Master II,10900,29521.25,401.25,174.62,316,-1,-5.14
2022-06-01,126711CHNR,GMT-Master II,16150,28952.67,265.33,89.85,316,-1,
2022-06-01,226570,Explorer II,9650,15109.38,183.75,59.05,316,-1,-2.13
2022-07-01,116500LN,Daytona,14800,42103.2,446.2,189.37,314,-2,-9.51
2022-07-01,124060,Submariner,9100,15528.3,230.0,73.5,314,-2,-4.89
2022-07-01,124270,Explorer,7250,10291.6,124.2,42.94,314,-2,-3.82
2022-07-01,124300,Oyster Perpetual,6400,16007.6,572.2,160.29,314,-2,-11.46
2022-07-01,126610LN,Submariner Date,10250,17256.8,335.0,70.86,314,-2,-5.81
2022-07-01,126610LV,Submariner Date,10800,22712.6,348.8,114.27,314,-2,-8.84
2022-07-01,126710BLNR,GMT-Master II,10900,23543.8,448.2,119.01,314,-2,-6.99
2022-07-01,126710BLRO,GMT-Master II,10900,26949.9,418.6,150.7,314,-2,-8.71
2022-07-01,126711CHNR,GMT-Master II,16150,26454.8,280.2,73.47,314,-2,-8.63
2022-07-01,226570,Explorer II,9650,14511.1,192.6,52.75,314,-2,-3.96
2022-08-01,116500LN,Daytona,14800,39993.0,428.5,174.87,315,1,-5.01
2022-08-01,124060,Submariner,9100,15146.62,218.0,69.24,315,1,-2.46
2022-08-01,124270,Explorer,7250,10110.38,122.75,40.42,315,1,-1.76
2022-08-01,124300,Oyster Perpetual,6400,14727.38,551.25,139.47,315,1,-8.0
2022-08-01,126610LN,Submariner Date,10250,16845.12,307.25,66.78,315,1,-2.39
2022-08-01,126610LV,Submariner Date,10800,21799.12,314.5,105.65,315,1,-4.02
2022-08-01,126710BLNR,GMT-Master II,10900,22488.75,433.25,109.2,315,1,-4.48
2022-08-01,126710BLRO,GMT-Master II,10900,25690.88,397.5,138.98,315,1,-4.67
2022-08-01,126711CHNR,GMT-Master II,16150,25375.25,259.0,66.4,315,1,-4.08
2022-08-01,226570,Explorer II,9650,14286.12,183.5,50.38,315,1,-1.55
2022-09-01,116500LN,Daytona,14800,38049.8,446.2,161.51,313,-2,-4.86
2022-09-01,124060,Submariner,9100,14732.7,211.4,64.61,313,-2,-2.73
2022-09-01,124270,Explorer,7250,9804.2,126.2,36.17,313,-2,-3.03
2022-09-01,124300,Oyster Perpetual,6400,14104.4,570.6,129.34,313,-2,-4.23
2022-09-01,126610LN,Submariner Date,10250,16337.6,295.0,61.76,313,-2,-3.01
2022-09-01,126610LV,Submariner Date,10800,20985.5,302.4,97.98,313,-2,-3.73
2022-09-01,126710BLNR,GMT-Master II,10900,21404.0,428.6,99.11,313,-2,-4.82
2022-09-01,126710BLRO,GMT-Master II,10900,24529.7,408.2,128.18,313,-2,-4.52
2022-09-01,126711CHNR,GMT-Master II,16150,24507.3,253.0,60.7,313,-2,-3.42
2022-09-01,226570,Explorer II,9650,13885.2,200.4,46.16,313,-2,-2.81
2022-10-01,116500LN,Daytona,14800,36909.75,471.0,153.68,308,-5,-3.0
2022-10-01,124060,Submariner,9100,14298.5,221.25,59.76,308,-5,-2.95
2022-10-01,124270,Explorer,7250,9740.38,127.5,35.28,308,-5,-0.65
2022-10-01,124300,Oyster Perpetual,6400,13135.5,579.5,113.59,308,-5,-6.87
2022-10-01,126610LN,Submariner Date,10250,15948.5,303.25,57.91,308,-5,-2.38
2022-10-01,126610LV,Submariner Date,10800,20358.75,324.0,92.06,308,-5,-2.99
2022-10-01,126710BLNR,GMT-Master II,10900,20768.5,466.75,93.2,308,-5,-2.97
2022-10-01,126710BLRO,GMT-Master II,10900,23745.25,440.5,120.89,308,-5,-3.2
2022-10-01,126711CHNR,GMT-Master II,16150,23910.0,253.75,56.79,308,-5,-2.44
2022-10-01,226570,Explorer II,9650,13706.75,213.0,44.28,308,-5,-1.29
2022-11-01,116500LN,Daytona,14800,36218.75,492.0,148.93,308,0,-1.87
