snapshot_month,state,dealer_count
2022-01-01,Oregon,5
2022-01-01,Pennsylvania,15
2022-01-01,Rhode Island,1
2022-01-01,South Carolina,5
2022-01-01,Tennessee,5
2022-01-01,Texas,26
2022-01-01,Utah,2
2022-01-01,Vermont,1
2022-01-01,Virginia,9
2022-01-01,Washington,5
2022-01-01,Wisconsin,4
2022-02-01,Alabama,3
2022-02-01,Alaska,1
2022-02-01,Arizona,5
2022-02-01,Arkansas,4
2022-02-01,California,35
2022-02-01,Colorado,6
2022-02-01,Columbia,1
2022-02-01,Connecticut,7
2022-02-01,Delaware,1
2022-02-01,Florida,28
2022-02-01,Georgia,6
2022-02-01,Hawaii,5
2022-02-01,Idaho,1
2022-02-01,Illinois,14
2022-02-01,Indiana,4
2022-02-01,Iowa,2
2022-02-01,Kansas,1
2022-02-01,Kentucky,2
2022-02-01,Louisiana,11
2022-02-01,Maine,1
2022-02-01,Maryland,3
2022-02-01,Massachusetts,7
2022-02-01,Michigan,11
2022-02-01,Minnesota,6
2022-02-01,Mississippi,2
2022-02-01,Missouri,6
2022-02-01,Montana,1
2022-02-01,Nebraska,1
2022-02-01,Nevada,7
2022-02-01,New Hampshire,2
2022-02-01,New Jersey,10
2022-02-01,New Mexico,1
2022-02-01,New York,23
2022-02-01,North Carolina,9
2022-02-01,North Dakota,1
2022-02-01,Ohio,8
2022-02-01,Oklahoma,5
2022-02-01,Oregon,5
2022-02-01,Pennsylvania,15
2022-02-01,Rhode Island,1
2022-02-01,South Carolina,5
2022-02-01,Tennessee,5
2022-02-01,Texas,26
2022-02-01,Utah,2
2022-02-01,Vermont,1
2022-02-01,Virginia,9
2022-02-01,Washington,5
2022-02-01,Wisconsin,4
2022-03-01,Alabama,3
2022-03-01,Alaska,1
2022-03-01,Arizona,5
2022-03-01,Arkansas,4
2022-03-01,California,35
2022-03-01,Colorado,6
2022-03-01,Columbia,1
2022-03-01,Connecticut,7
2022-03-01,Delaware,1
2022-03-01,Florida,28
2022-03-01,Georgia,6
2022-03-01,Hawaii,5
2022-03-01,Idaho,1
2022-03-01,Illinois,14
2022-03-01,Indiana,4
2022-03-01,Iowa,2
2022-03-01,Kansas,1
2022-03-01,Kentucky,2
2022-03-01,Louisiana,10
2022-03-01,Maine,1
2022-03-01,Maryland,3
2022-03-01,Massachusetts,8
2022-03-01,Michigan,11
2022-03-01,Minnesota,6
2022-03-01,Mississippi,2
2022-03-01,Missouri,6
2022-03-01,Montana,1
2022-03-01,Nebraska,1
2022-03-01,Nevada,7
2022-03-01,New Hampshire,2
2022-03-01,New Jersey,10
2022-03-01,New Mexico,1
2022-03-01,New York,23
2022-03-01,North Carolina,9
2022-03-01,North Dakota,1
2022-03-01,Ohio,8
2022-03-01,Oklahoma,5
2022-03-01,Oregon,5
2022-03-01,Pennsylvania,15
2022-03-01,Rhode Island,1
2022-03-01,South Carolina,5
2022-03-01,Tennessee,5
2022-03-01,Texas,26
2022-03-01,Utah,2
2022-03-01,Virginia,9
2022-03-01,Washington,5
2022-03-01,Wisconsin,4
2022-04-01,Alabama,3
2022-04-01,Alaska,1
2022-04-01,Arizona,5
2022-04-01,Arkansas,4
2022-04-01,California,35
2022-04-01,Colorado,6
2022-04-01,Columbia,1
2022-04-01,Connecticut,7
2022-04-01,Delaware,1
2022-04-01,Florida,28
2022-04-01,Georgia,6
2022-04-01,Hawaii,5
2022-04-01,Idaho,1
2022-04-01,Illinois,14
2022-04-01,Indiana,4
2022-04-01,Iowa,2
2022-04-01,Kansas,1
2022-04-01,Kentucky,2
2022-04-01,Louisiana,10
2022-04-01,Maine,1
2022-04-01,Maryland,3
2022-04-01,Massachusetts,7
2022-04-01,Michigan,11
2022-04-01,Minnesota,6
2022-04-01,Mississippi,2
2022-04-01,Missouri,6
2022-04-01,Montana,1
2022-04-01,Nebraska,1
2022-04-01,Nevada,7
2022-04-01,New Hampshire,2
2022-04-01,New Jersey,10
2022-04-01,New Mexico,1
2022-04-01,New York,23
2022-04-01,North Carolina,9
2022-04-01,North Dakota,1
2022-04-01,Ohio,8
2022-04-01,Oklahoma,5
2022-04-01,Oregon,5
